bartender,bar,drink_n,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9
Jennifer Le Nechet,Café Moderne (Paris),Bayamesa,55ml of Ron Zacappa,20ml of Suze,25ml of Lime,40ml of Homemade Cola,2 dashes of Old Fashioned Bitters,NA,NA,NA,NA
Jennifer Le Nechet,Café Moderne (Paris),Dry Julep,40ml of Bulleit Bourbon infused at 30C° with Mint (redistilled),40ml of Bulleit Rye Whiskey,"20ml of Teluric Cordial (citrus zest, tea and mint)",3 dashes of Old Fashioned Bitters,3 dashes of Orange Bitters,NA,NA,NA,NA
Jerimias Barna,La Serre (Dubai),Smoky boulevard (boulevardier),20ml of whisky Chivas 12 years old,10ml of Carpano Classico,20ml of Aperol,1 dash of orange bitters,2 dashes of Aztec chocolate bitters,2 barspoons of Australian Pedro Jimenez,A Spray of Laphroaig ten,NA,NA
Jerimias Barna,La Serre (Dubai),Renaissance number 2,20ml of Tanqueray gin,20ml of Créole orange shrub,20ml of Luxardo Maraschino,20ml of lemon juice,Glass rinced with Pernod,NA,NA,NA,NA
Jerome Allaguillemette,Sexy Fish (London),Bobby Burns ,25ml of Yamazaki distilled reserve,25ml of Antica formula,5ml of Benedictine,NA,NA,NA,NA,NA,NA
Jerome Allaguillemette,Sexy Fish (London),Dai Kirin,45ml of Havana club 3 years rum,15ml of yuzu,15 ml of lemon grass and ginger cordial infuse with kefir,1 kumquat,Foam of absinthe and matcha tea,NA,NA,NA,NA
Jia Wei,Employees Only (Singapore),Godfather,2 oz of Singleton 12 Year Old Scotch Whisky,0.5 oz of Amaretto Luxardo,0.25 oz of Frangelico,1 dash of Chocolate Bitter,NA,NA,NA,NA,NA
Jia Wei,Employees Only (Singapore),EO Gimlet,1.5 oz of Perry’s Tot Gin,"0.75 oz of EO’s Lime Cordial (lime, agave and kaffir lime)",NA,NA,NA,NA,NA,NA,NA
Joe Lewis-White,American Bar at The Savoy (London),Chrysanthemum,20ml of Dry Vermouth,15ml of Benedictine,3 dashes of Absinthe,NA,NA,NA,NA,NA,NA
Joe Lewis-White,American Bar at The Savoy (London),Basil Ionides,45ml of Ron Zacapa,1 dash of Smoked Whisky,1 dash of Peychauds Bitters,5ml of Mastiha,10ml of Salted Cocoa Liqueur,30ml of Cocoa Infused Cocchi di Torino,NA,NA,NA
